"PLATFORM","BIN_START","TITLES"
"Disney+",10,13
"Disney+",30,41
"Disney+",40,207
"Disney+",50,253
"Disney+",60,208
"Disney+",70,125
"Disney+",80,72
"Disney+",90,3
"Hulu",10,4
"Hulu",20,1
"Hulu",30,21
"Hulu",40,155
"Hulu",50,320
"Hulu",60,308
"Hulu",70,189
"Hulu",80,47
"Hulu",90,2
"Netflix",10,53
"Netflix",20,12
"Netflix",30,373
"Netflix",40,991
"Netflix",50,1031
"Netflix",60,674
"Netflix",70,386
"Netflix",80,147
"Netflix",90,21
"Prime Video",10,50
"Prime Video",20,14
"Prime Video",30,578
"Prime Video",40,1527
"Prime Video",50,1065
"Prime Video",60,605
"Prime Video",70,221
"Prime Video",80,49
"Prime Video",90,4
